Approximation,Model,dataset,Accuracy,Time,Features
Non-parametric KernelSHAP,Neural network,housing,96.93934533,0.19826,13
Parametric KernelSHAP,Neural network,housing,96.93934533,0.19826,13
SGDShapley,Neural network,housing,94.17882622,0.1243231325,13
CES,Neural network,htwtindex,97.47840065,0.8540279627,3
Cohort,Neural network,htwtindex,97.42784007,0.8540279627,3
DASP,Neural network,htwtindex,95.96085061,0.2559449066,3
DeepLIFT,Neural network,htwtindex,94.57311117,0.0008973540682,3
DeepSHAP,Neural network,htwtindex,95.96080669,0.003947021022,3
Exhaustive,Neural network,htwtindex,99.7725822,29.31373858,3
IME,Neural network,htwtindex,99.6436031,0.3008596912,3
KernelSHAP,Neural network,htwtindex,99.7725822,0.06491121379,3
MLE,Neural network,htwtindex,99.70049994,0.1588307077,3
Non-parametric KernelSHAP,Neural network,htwtindex,99.77241982,0.006541,3
Parametric KernelSHAP,Neural network,htwtindex,99.77241982,0.006841,3
SGDShapley,Neural network,htwtindex,99.78924694,0.113655479,3
CES,Neural network,hybrid,97.24601207,0.5447605077,11
Cohort,Neural network,hybrid,97.24260121,0.5447605077,11
DASP,Neural network,hybrid,98.79259288,0.2357550556,11
DeepLIFT,Neural network,hybrid,96.98682176,0.002161593148,11
DeepSHAP,Neural network,hybrid,98.79292954,0.009846547071,11
Exhaustive,Neural network,hybrid,99.8502563,226099.2586,11
IME,Neural network,hybrid,99.67549108,0.4200446045,11
KernelSHAP,Neural network,hybrid,99.8502563,0.07005087535,11
MLE,Neural network,hybrid,99.66913875,0.2076258379,11
Non-parametric KernelSHAP,Neural network,hybrid,99.97749326,0.03364,11
Parametric KernelSHAP,Neural network,hybrid,99.97749329,0.035887,11
SGDShapley,Neural network,hybrid,85.21026152,0.1188044595,11
CES,Neural network,income,90.46679444,10.10828786,13
Cohort,Neural network,income,90.46267944,10.10828786,13
DASP,Neural network,income,99.93581739,0.2540172548,13
DeepLIFT,Neural network,income,98.29262686,0.002704559557,13
DeepSHAP,Neural network,income,99.93817454,0.003204559557,13
Exhaustive,Neural network,income,99.91245898,3118060.987,13
IME,Neural network,income,99.86881829,0.3764359763,13
KernelSHAP,Neural network,income,99.95870068,0.06968538689,13
MLE,Neural network,income,95.49821734,0.1918067708,13
Non-parametric KernelSHAP,Neural network,income,99.89054951,0.245574,13
Parametric KernelSHAP,Neural network,income,99.89054951,0.245574,13
SGDShapley,Neural network,income,25,0.1237413594,13
CES,Neural network,insurance,98.50883412,4.541410942,6
Cohort,Neural network,insurance,98.50288341,4.541410942,6
DASP,Neural network,insurance,99.83454268,0.2580974629,6
DeepLIFT,Neural network,insurance,98.32041486,0.001433438966,6
DeepSHAP,Neural network,insurance,99.83442677,0.003267425479,6
Exhaustive,Neural network,insurance,99.98672087,4904.397873,6
IME,Neural network,insurance,99.54761788,0.3479503762,6
KernelSHAP,Neural network,insurance,99.67106209,0.0592895963,6
MLE,Neural network,insurance,99.59412774,0.1847580975,6
Non-parametric KernelSHAP,Neural network,insurance,99.55721628,0.009641,6
Parametric KernelSHAP,Neural network,insurance,99.55721597,0.012174,6
SGDShapley,Neural network,insurance,81.18158925,0.1075192553,6
CES,Neural network,iris,69.98996838,0.5218571186,4
Cohort,Neural network,iris,69.92899684,0.5218571186,4
DASP,Neural network,iris,98.79159578,0.2466725969,4
DeepLIFT,Neural network,iris,97.08674138,0.001190468669,4
DeepSHAP,Neural network,iris,98.79194793,0.01058974743,4
Exhaustive,Neural network,iris,99.99244966,277.7986517,4
IME,Neural network,iris,99.81007846,0.3642034721,4
KernelSHAP,Neural network,iris,99.99244966,0.0677115202,4
MLE,Neural network,iris,99.6902881,0.193484273,4
Non-parametric KernelSHAP,Neural network,iris,99.99822402,0.004944,4
Parametric KernelSHAP,Neural network,iris,99.99822402,0.007332,4
SGDShapley,Neural network,iris,96.06461567,0.1157365322,4
CES,Neural network,japanemg,90.38795573,0.1114420096,5
Cohort,Neural network,japanemg,90.32879557,0.1114420096,5
DASP,Neural network,japanemg,83.12544041,0.2465467135,5
DeepLIFT,Neural network,japanemg,81.92968433,0.001219353119,5
DeepSHAP,Neural network,japanemg,83.12440848,0.03418750763,5
Exhaustive,Neural network,japanemg,89.83191851,325.4002643,5
IME,Neural network,japanemg,89.36549377,0.3792177359,5
KernelSHAP,Neural network,japanemg,89.83191851,0.05843095779,5
MLE,Neural network,japanemg,90.08346923,0.1871268908,5
Non-parametric KernelSHAP,Neural network,japanemg,92.1263506,0.005059,5
Parametric KernelSHAP,Neural network,japanemg,92.12634939,0.005479,5
SGDShapley,Neural network,japanemg,41.4091774,0.1173493544,5
CES,Neural network,jewellery,99.78485495,0.8537140131,3
Cohort,Neural network,jewellery,99.7284855,0.8537140131,3
DASP,Neural network,jewellery,99.94657071,0.256947623,3
DeepLIFT,Neural network,jewellery,98.09497389,0.0009781172176,3
DeepSHAP,Neural network,jewellery,99.94670622,0.003895038616,3
Exhaustive,Neural network,jewellery,99.98911321,25.04517031,3
IME,Neural network,jewellery,99.8969214,0.3448913611,3
KernelSHAP,Neural network,jewellery,99.98911321,0.06846827233,3
MLE,Neural network,jewellery,99.88858993,0.1784458503,3
Non-parametric KernelSHAP,Neural network,jewellery,99.46325567,0.005398,3
Parametric KernelSHAP,Neural network,jewellery,99.46325566,0.007412,3
SGDShapley,Neural network,jewellery,99.9990796,0.1100944188,3
CES,Neural network,kiva,99.55333494,3.854198229,6
Cohort,Neural network,kiva,99.52533349,3.854198229,6
DASP,Neural network,kiva,99.64506041,0.2516174743,6
DeepLIFT,Neural network,kiva,98.46348945,0.001417934031,6
DeepSHAP,Neural network,kiva,99.64060543,0.003136189779,6
Exhaustive,Neural network,kiva,99.95777286,8714.400119,6
IME,Neural network,kiva,99.17923445,0.2747228897,6
KernelSHAP,Neural network,kiva,99.32622515,0.05943061077,6
MLE,Neural network,kiva,99.16100019,0.1414435914,6
Non-parametric KernelSHAP,Neural network,kiva,93.23518983,0.008811,6
Parametric KernelSHAP,Neural network,kiva,93.23519106,0.010603,6
SGDShapley,Neural network,kiva,99.23620381,0.09659983462,6
CES,Neural network,linnerud,99.26357361,0.01628800801,5
Cohort,Neural network,linnerud,99.26235736,0.01628800801,5
DASP,Neural network,linnerud,98.18154073,0.2505586829,5
DeepLIFT,Neural network,linnerud,97.09133055,0.001216184009,5
DeepSHAP,Neural network,linnerud,98.18141529,0.0750819615,5
Exhaustive,Neural network,linnerud,98.16149215,351.5370166,5
IME,Neural network,linnerud,97.67560744,0.3731919016,5
KernelSHAP,Neural network,linnerud,98.16149215,0.07159437452,5
MLE,Neural network,linnerud,98.09356208,0.1956261907,5
Non-parametric KernelSHAP,Neural network,linnerud,98.93455269,0.005339,5
Parametric KernelSHAP,Neural network,linnerud,98.93455323,0.00524,5
SGDShapley,Neural network,linnerud,85.44143146,0.1169866834,5
CES,Neural network,mba,98.49523575,6.945257792,13
Cohort,Neural network,mba,98.49252358,6.945257792,13
DASP,Neural network,mba,99.28325271,0.2605144765,13
DeepLIFT,Neural network,mba,97.63546757,0.003698133566,13
DeepSHAP,Neural network,mba,99.28322828,0.004198133566,13
Exhaustive,Neural network,mba,99.91245898,3118060.987,13
IME,Neural network,mba,99.83672129,0.4342041517,13
KernelSHAP,Neural network,mba,99.95373327,0.0596281085,13
MLE,Neural network,mba,99.7833344,0.2192667852,13
Non-parametric KernelSHAP,Neural network,mba,99.99643427,0.190815,13
Parametric KernelSHAP,Neural network,mba,99.99643427,0.190815,13
SGDShapley,Neural network,mba,99.96676269,0.1255400986,13
CES,Neural network,migration,99.07066651,2.861845586,11
Cohort,Neural network,migration,99.07206665,2.861845586,11
DASP,Neural network,migration,96.09151261,0.2471018705,11
DeepLIFT,Neural network,migration,94.29433142,0.002131281477,11
DeepSHAP,Neural network,migration,96.09112617,0.007118658586,11
Exhaustive,Neural network,migration,94.45969632,462250.4876,11
IME,Neural network,migration,94.14069498,0.3177313805,11
KernelSHAP,Neural network,migration,94.45969632,0.06995496193,11
MLE,Neural network,migration,94.36312583,0.1906533644,11
Non-parametric KernelSHAP,Neural network,migration,94.27606247,0.036133,11
Parametric KernelSHAP,Neural network,migration,94.27606314,0.03977,11
SGDShapley,Neural network,migration,96.00132581,0.1176416812,11
CES,Neural network,mtcars,25,0.1626867381,11
Cohort,Neural network,mtcars,25,0.1626867381,11
DASP,Neural network,mtcars,83.97065855,0.2390745987,11
DeepLIFT,Neural network,mtcars,82.74287055,0.002106549523,11
DeepSHAP,Neural network,mtcars,83.97065387,0.04470961744,11
Exhaustive,Neural network,mtcars,99.95631388,550398.1285,11
IME,Neural network,mtcars,78.43255103,0.4203729196,11
KernelSHAP,Neural network,mtcars,76.53931808,0.0705249743,11
MLE,Neural network,mtcars,80.89325631,0.2193206657,11
Non-parametric KernelSHAP,Neural network,mtcars,60.18552672,0.029812,11
Parametric KernelSHAP,Neural network,mtcars,60.18552484,0.033095,11
SGDShapley,Neural network,mtcars,92.36276289,0.1220367388,11
CES,Neural network,ozone,99.9908495,3.664457552,12
Cohort,Neural network,ozone,99.92908495,3.664457552,12
DASP,Neural network,ozone,99.14635442,0.2489134127,12
DeepLIFT,Neural network,ozone,97.24485722,0.007375207645,12
DeepSHAP,Neural network,ozone,99.14634656,0.007875207645,12
Exhaustive,Neural network,ozone,99.99775298,2759912.559,12
IME,Neural network,ozone,99.72463008,0.4186502108,12
KernelSHAP,Neural network,ozone,99.84907152,0.07021105823,12
MLE,Neural network,ozone,99.75776071,0.217870545,12
Non-parametric KernelSHAP,Neural network,ozone,99.40967249,0.075346,12
Parametric KernelSHAP,Neural network,ozone,99.40967249,0.075346,12
SGDShapley,Neural network,ozone,63.31625351,0.1213785855,12
CES,Neural network,petrol,62.40887721,0.1831053942,4
Cohort,Neural network,petrol,62.42088772,0.1831053942,4
DASP,Neural network,petrol,71.35856377,0.2406704724,4
DeepLIFT,Neural network,petrol,69.72086993,0.001068257563,4
DeepSHAP,Neural network,petrol,71.35866574,0.03120031953,4
Exhaustive,Neural network,petrol,65.81668566,178.2336588,4
IME,Neural network,petrol,66.73167513,0.3703537285,4
KernelSHAP,Neural network,petrol,65.81668566,0.06526851654,4
MLE,Neural network,petrol,66.67911702,0.178335622,4
Non-parametric KernelSHAP,Neural network,petrol,60.23286627,0.004276,4
Parametric KernelSHAP,Neural network,petrol,60.23286336,0.006609,4
SGDShapley,Neural network,petrol,25,0.1142575592,4
CES,Neural network,poker,97.79336386,8.447709639,10
Cohort,Neural network,poker,97.27933639,8.447709639,10
DASP,Neural network,poker,99.97545387,0.2569611138,10
DeepLIFT,Neural network,poker,98.45599091,0.001940590685,10
DeepSHAP,Neural network,poker,99.97453925,0.00335309072,10
Exhaustive,Neural network,poker,99.98260927,125025.1352,10
IME,Neural network,poker,99.74218043,0.3334103281,10
KernelSHAP,Neural network,poker,99.98785053,0.06752319914,10
MLE,Neural network,poker,99.48535965,0.1696513465,10
Non-parametric KernelSHAP,Neural network,poker,99.87564049,0.035667,10
Parametric KernelSHAP,Neural network,poker,99.87564062,0.039596,10
SGDShapley,Neural network,poker,95.3290673,0.1193157673,10
CES,Neural network,possumbelly,97.27254462,1.146133259,10
Cohort,Neural network,possumbelly,97.27225446,1.146133259,10
DASP,Neural network,possumbelly,95.59515288,0.2442120075,10
DeepLIFT,Neural network,possumbelly,94.02495282,0.002196176978,10
DeepSHAP,Neural network,possumbelly,95.9515326,0.01442988259,10
Exhaustive,Neural network,possumbelly,99.61958261,125025.1352,10
IME,Neural network,possumbelly,99.58141642,0.400136682,10
KernelSHAP,Neural network,possumbelly,99.61958261,0.07014566149,10
MLE,Neural network,possumbelly,99.55907913,0.2173599788,10
Non-parametric KernelSHAP,Neural network,possumbelly,99.95432337,0.018182,10
Parametric KernelSHAP,Neural network,possumbelly,99.95432332,0.019981,10
SGDShapley,Neural network,possumbelly,91.27040745,0.1208727973,10
CES,Neural network,possumchest,99.31725741,1.148128326,10
Cohort,Neural network,possumchest,99.31272574,1.148128326,10
DASP,Neural network,possumchest,98.75823263,0.2434843268,10
DeepLIFT,Neural network,possumchest,96.99577549,0.00216886109,10
DeepSHAP,Neural network,possumchest,98.78233205,0.01442915371,10
Exhaustive,Neural network,possumchest,99.95566313,90904.31955,10
IME,Neural network,possumchest,99.87085972,0.4164443493,10
KernelSHAP,Neural network,possumchest,99.95566313,0.06239026615,10
MLE,Neural network,possumchest,99.86918229,0.2128997666,10
Non-parametric KernelSHAP,Neural network,possumchest,99.49973499,0.018014,10
Parametric KernelSHAP,Neural network,possumchest,99.49973521,0.020434,10
SGDShapley,Neural network,possumchest,90.17510661,0.1187789236,10
CES,Neural network,power,94.76479089,2.185800087,4
Cohort,Neural network,power,94.76427909,2.185800087,4
DASP,Neural network,power,99.19572335,0.2559704773,4
DeepLIFT,Neural network,power,98.18359247,0.001358438941,4
DeepSHAP,Neural network,power,99.19723549,0.003228785052,4
Exhaustive,Neural network,power,99.99999454,118210.1272,4
IME,Neural network,power,99.14663258,0.3092723687,4
KernelSHAP,Neural network,power,99.242538,0.06586704904,4
MLE,Neural network,power,99.1370225,0.1723154205,4
Non-parametric KernelSHAP,Neural network,power,99.48918021,0.008971,4
Parametric KernelSHAP,Neural network,power,99.48918026,0.009032,4
SGDShapley,Neural network,power,98.83184623,0.112175763,4
CES,Neural network,powerlifting,99.21158357,4.540187168,6
Cohort,Neural network,powerlifting,99.21125836,4.540187168,6
DASP,Neural network,powerlifting,98.59852887,0.2574906031,6
DeepLIFT,Neural network,powerlifting,97.20904718,0.001318734342,6
DeepSHAP,Neural network,powerlifting,98.59828657,0.003201931173,6
Exhaustive,Neural network,powerlifting,99.91180532,27130.9015,6
IME,Neural network,powerlifting,98.96189786,0.3534814336,6
KernelSHAP,Neural network,powerlifting,99.0917457,0.06796208006,6
MLE,Neural network,powerlifting,98.99116553,0.184651455,6
Non-parametric KernelSHAP,Neural network,powerlifting,99.57362534,0.009669,6
Parametric KernelSHAP,Neural network,powerlifting,99.57362519,0.010763,6
SGDShapley,Neural network,powerlifting,99.3146616,0.09726745649,6
CES,Neural network,precip,99.97016884,7.103553572,9
Cohort,Neural network,precip,99.97012688,7.103553572,9
DASP,Neural network,precip,99.81725202,0.2549082084,9
DeepLIFT,Neural network,precip,98.69417287,0.002042034694,9
