Approximation,Model,dataset,Accuracy,Time,Features
Non-parametric KernelSHAP,agnostic,winequality,5.00E+01,0.056859,11
Parametric KernelSHAP,agnostic,winequality,5.00E+01,0.080029,11
SGDShapley,agnostic,employee,5.00E+01,0.1948398503,9
SGDShapley,agnostic,challenger,5.00E+01,0.137998879,4
SGDShapley,agnostic,htwtindex,5.00E+01,0.1510086132,3
Parametric KernelSHAP,agnostic,seoulbike,5.00E+01,0.534673,12
Non-parametric KernelSHAP,agnostic,seoulbike,5.00E+01,0.122979,12
Parametric KernelSHAP,agnostic,htwtindex,5.00E+01,0.005199,3
Non-parametric KernelSHAP,agnostic,htwtindex,5.00E+01,0.006294,3
Non-parametric KernelSHAP,agnostic,winequality-red,5.00E+01,0.058158,11
Parametric KernelSHAP,agnostic,winequality-red,5.00E+01,0.083317,11
Parametric KernelSHAP,agnostic,diamonds_filter,5.00E+01,0.006886,4
Non-parametric KernelSHAP,agnostic,diamonds_filter,5.00E+01,0.006667,4
Non-parametric KernelSHAP,agnostic,3droad,5.00E+01,0.00836,3
Parametric KernelSHAP,agnostic,3droad,5.00E+01,0.008344,3
IME,agnostic,glass,0,0.1362570239,9
SGDShapley,agnostic,glass,0,0.1274108887,9
SGDShapley,agnostic,3droad,8.905525559,0.2247204073,3
CES,agnostic,precip,11.5269459,6.948227917,9
Cohort,agnostic,precip,11.5269459,6.948227917,9
Non-parametric KernelSHAP,agnostic,servo,15.36841804,0.066145,12
Parametric KernelSHAP,agnostic,servo,15.36842327,0.068257,12
Non-parametric KernelSHAP,agnostic,brainweight,22.79975328,0.005412,3
Parametric KernelSHAP,agnostic,brainweight,22.79975367,0.007773,3
SGDShapley,agnostic,bikehourly,34.06801371,0.2337013671,12
Parametric KernelSHAP,agnostic,diamonds_select,42.4642245,0.008794,4
Non-parametric KernelSHAP,agnostic,diamonds_select,42.46422485,0.008496,4
Parametric KernelSHAP,agnostic,possumchest,48.11262183,0.019376,10
Parametric KernelSHAP,agnostic,spending,48.11262183,0.018922,10
Non-parametric KernelSHAP,agnostic,spending,48.11262211,0.018524,10
Non-parametric KernelSHAP,agnostic,possumchest,48.11262211,0.018261,10
Non-parametric KernelSHAP,agnostic,californiahousing,50.72868748,0.015643,8
Parametric KernelSHAP,agnostic,californiahousing,50.72869225,0.017495,8
Parametric KernelSHAP,agnostic,bikehourly,53.26230867,0.489318,12
Non-parametric KernelSHAP,agnostic,bikehourly,53.26231052,0.107695,12
Cohort,agnostic,crab,53.76108919,6.796341661,8
CES,agnostic,crab,53.76108919,6.796341661,8
Non-parametric KernelSHAP,agnostic,boston,53.85020711,0.20166,13
Parametric KernelSHAP,agnostic,boston,53.85020998,0.314111,13
Non-parametric KernelSHAP,agnostic,housing,57.34610623,0.195726,13
Parametric KernelSHAP,agnostic,housing,57.34610886,0.263225,13
Cohort,agnostic,challenger,63.15312102,0.02095603943,4
CES,agnostic,challenger,63.15312102,0.02095603943,4
Parametric KernelSHAP,agnostic,mtcars,64.26466461,0.030157,11
Non-parametric KernelSHAP,agnostic,mtcars,64.26466489,0.029405,11
SGDShapley,agnostic,servo,64.35805712,0.1508041165,12
IME,agnostic,mtcars,65.08807998,0.1670636697,11
SGDShapley,agnostic,casp,65.322221,0.2270964702,9
CES,agnostic,casp,65.46728573,7.179346416,9
Cohort,agnostic,casp,65.46728573,7.179346416,9
Cohort,agnostic,power,66.32162247,3.307469117,4
CES,agnostic,power,66.32162247,3.307469117,4
Non-parametric KernelSHAP,agnostic,blood,66.37405431,0.007391,4
Parametric KernelSHAP,agnostic,blood,66.37405756,0.007749,4
Exhaustive,agnostic,challenger,67.79774796,0.1281900406,4
KernelSHAP,agnostic,challenger,67.79774796,0.07067918777,4
SGDShapley,agnostic,telescope,68.37196805,0.2289103819,10
Exhaustive,agnostic,mtcars,68.75728242,129.6414053,11
KernelSHAP,agnostic,mtcars,68.75728242,0.07080472599,11
IME,agnostic,challenger,68.89838839,0.1574730277,4
MLE,agnostic,challenger,69.89838839,0.1574730277,4
SGDShapley,agnostic,bikedaily,72.46856169,0.1645142372,11
SGDShapley,agnostic,forest,73.03815215,0.1609806861,12
SGDShapley,agnostic,wage,73.23225644,0.2162642652,8
SGDShapley,agnostic,forestfire,73.32221668,0.1608750513,12
Non-parametric KernelSHAP,agnostic,concrete,74.7126961,0.015465,8
Non-parametric KernelSHAP,agnostic,cms,74.7126961,0.014873,8
Parametric KernelSHAP,agnostic,concrete,74.71269648,0.017561,8
Parametric KernelSHAP,agnostic,cms,74.71269648,0.016696,8
Exhaustive,agnostic,glass,75,26.90657115,9
KernelSHAP,agnostic,glass,75,0.0812403014,9
SGDShapley,agnostic,startups,75.55694881,0.1412016223,4
